회차,당첨번호,,,,,,,,,,,,,,,,,,,
year,회차,일자,1등 당첨자수,1등 당첨액,2등 당첨자수,2등 당첨액,3등 당첨자수,3등 당첨액,4등 당첨자수,4등 당첨액,5등 당첨자수,5등 당첨액,당첨번호#1,당첨번호#2,당첨번호#3,당첨번호#4,당첨번호#5,당첨번호#6,당첨번호#7
2024,1129,2024.7.20,11,"2,369,567,660",107,"40,600,069","3,142","1,382,625","154,322","50,000","2,542,398","5,000",5,10,11,17,28,34,22
2024,1128,2024.7.13,63,"419,925,560",77,"57,262,577","2,987","1,476,137","153,592","50,000","2,545,750","5,000",1,5,8,16,28,33,45
2024,1127,2024.7.6,12,"2,267,891,969",84,"53,997,428","3,007","1,508,409","145,646","50,000","2,443,423","5,000",10,15,24,30,31,37,32
2024,1126,2024.6.29,11,"2,386,382,421",91,"48,077,302","3,114","1,404,957","157,300","50,000","2,626,764","5,000",4,5,9,11,37,40,7
2024,1125,2024.6.22,12,"2,195,289,188",78,"56,289,467","3,066","1,432,022","147,313","50,000","2,442,674","5,000",6,14,25,33,40,44,30
2024,1124,2024.6.15,10,"2,623,327,913",87,"50,255,324","3,123","1,400,005","158,630","50,000","2,619,643","5,000",3,8,17,30,33,34,28
2024,1123,2024.6.8,16,"1,731,310,711",77,"59,958,813","2,945","1,567,684","147,087","50,000","2,456,500","5,000",13,19,21,24,34,35,26
2024,1122,2024.6.1,11,"2,556,266,046",99,"47,338,261","2,932","1,598,393","151,473","50,000","2,540,890","5,000",3,6,21,30,34,35,22
2024,1121,2024.5.25,11,"2,524,513,262",76,"60,898,347","2,956","1,565,723","148,984","50,000","2,494,773","5,000",6,24,31,32,38,44,8
2024,1120,2024.5.18,11,"2,522,163,375",91,"50,812,816","3,049","1,516,552","154,910","50,000","2,532,990","5,000",2,19,26,31,38,41,34
2024,1119,2024.5.11,19,"1,396,028,764",97,"45,574,823","3,108","1,422,381","155,000","50,000","2,560,859","5,000",1,9,12,13,20,45,3
2024,1118,2024.5.4,19,"1,477,445,132",72,"64,980,226","3,518","1,329,897","145,194","50,000","2,435,050","5,000",11,13,14,15,16,45,3
2024,1117,2024.4.27,9,"3,028,385,542",94,"48,325,302","3,161","1,437,071","155,379","50,000","2,567,618","5,000",3,4,9,30,33,36,7
2024,1116,2024.4.20,10,"2,695,000,238",114,"39,400,589","2,896","1,550,991","145,548","50,000","2,444,108","5,000",15,16,17,25,30,31,32
2024,1115,2024.4.13,12,"2,257,278,282",60,"75,242,610","3,103","1,454,901","158,614","50,000","2,584,491","5,000",7,12,23,32,34,36,8
2024,1114,2024.4.6,17,"1,583,813,824",88,"50,994,006","3,221","1,393,193","160,537","50,000","2,574,463","5,000",10,16,19,32,33,38,3
2024,1113,2024.3.30,14,"1,987,426,822",57,"81,356,654","2,936","1,579,472","146,997","50,000","2,444,535","5,000",11,13,20,21,32,44,8
2024,1112,2024.3.23,10,"2,804,455,650",59,"79,221,912","3,077","1,519,043","148,163","50,000","2,461,430","5,000",16,20,26,36,42,44,24
2024,1111,2024.3.16,16,"1,714,662,540",97,"47,138,490","5,096","897,260","171,363","50,000","2,608,760","5,000",3,13,30,33,43,45,4
2024,1110,2024.3.9,16,"1,647,392,719",118,"37,229,214","3,654","1,202,258","173,234","50,000","2,747,163","5,000",3,7,11,20,22,41,24
2024,1109,2024.3.2,17,"1,584,352,875",84,"53,440,474","3,347","1,341,202","180,255","50,000","2,734,683","5,000",10,12,13,19,33,40,2
2024,1108,2024.2.24,14,"1,957,990,849",96,"47,590,056","3,227","1,415,757","157,579","50,000","2,572,268","5,000",7,19,26,37,39,44,27
2024,1107,2024.2.17,14,"2,025,625,233",82,"57,639,743","3,357","1,407,942","162,265","50,000","2,581,512","5,000",6,14,30,31,40,41,29
2024,1106,2024.2.10,11,"2,790,462,819",67,"76,355,948","3,374","1,516,257","168,792","50,000","2,788,452","5,000",1,3,4,29,42,45,36
2024,1105,2024.2.3,15,"1,834,853,800",83,"55,266,681","2,898","1,582,863","148,700","50,000","2,503,114","5,000",6,16,34,37,39,40,11
2024,1104,2024.1.27,15,"1,817,193,100",76,"59,776,089","3,000","1,514,328","148,589","50,000","2,490,276","5,000",1,7,21,30,35,38,2
2024,1103,2024.1.20,17,"1,574,419,633",76,"58,695,469","2,909","1,533,468","144,537","50,000","2,436,768","5,000",10,12,29,31,40,44,2
2024,1102,2024.1.13,20,"1,383,591,413",63,"73,205,895","3,042","1,516,099","147,705","50,000","2,461,606","5,000",13,14,22,26,37,38,20
2024,1101,2024.1.6,13,"2,100,529,500",75,"60,681,964","3,363","1,353,300","159,797","50,000","2,596,082","5,000",6,7,13,28,36,42,41
2023,1100,2023.12.30,13,"2,207,575,472",81,"59,050,373","2,869","1,667,160","146,262","50,000","2,503,154","5,000",17,26,29,30,31,43,12
2023,1099,2023.12.23,9,"2,959,934,125",71,"62,533,820","2,701","1,643,800","134,122","50,000","2,306,011","5,000",3,20,28,38,40,43,4
2023,1098,2023.12.16,13,"1,930,461,895",68,"61,509,816","2,840","1,472,771","138,090","50,000","2,311,866","5,000",12,16,21,24,41,43,15
2023,1097,2023.12.9,7,"3,864,293,090",67,"67,288,686","2,631","1,713,547","135,670","50,000","2,317,263","5,000",14,33,34,35,37,40,4
2023,1096,2023.12.2,10,"2,539,391,175",85,"49,791,984","2,924","1,447,442","141,700","50,000","2,386,598","5,000",1,12,16,19,23,43,34
2023,1095,2023.11.25,10,"2,617,825,575",57,"76,544,608","2,584","1,688,484","135,653","50,000","2,278,659","5,000",8,14,28,29,34,40,12
2023,1094,2023.11.18,12,"2,112,854,469",87,"48,571,368","2,725","1,550,719","136,802","50,000","2,278,728","5,000",6,7,15,22,26,40,41
2023,1093,2023.11.11,13,"1,967,040,750",65,"65,568,025","2,928","1,455,575","141,232","50,000","2,327,509","5,000",10,17,22,30,35,43,44
2023,1092,2023.11.4,16,"1,583,289,844",84,"50,263,170","3,327","1,269,044","160,096","50,000","2,540,721","5,000",7,18,19,26,33,45,37
2023,1091,2023.10.28,9,"2,898,470,459",65,"66,887,780","2,873","1,513,299","149,578","50,000","2,481,449","5,000",6,20,23,24,28,30,44
2023,1090,2023.10.21,11,"2,386,494,614",88,"49,718,638","2,931","1,492,747","143,714","50,000","2,398,962","5,000",12,19,21,29,40,45,1
2023,1089,2023.10.14,9,"2,978,522,167",79,"56,554,219","2,825","1,581,517","138,575","50,000","2,338,390","5,000",4,18,31,37,42,43,40
2023,1088,2023.10.7,11,"2,434,697,898",94,"47,485,243","2,991","1,492,348","141,487","50,000","2,352,280","5,000",11,21,22,30,39,44,31
2023,1087,2023.9.30,16,"1,732,253,602",71,"65,061,169","2,989","1,545,448","149,854","50,000","2,506,601","5,000",13,14,18,21,34,44,16
2023,1086,2023.9.23,17,"1,515,913,809",67,"64,105,808","3,270","1,313,483","155,241","50,000","2,500,478","5,000",11,16,25,27,35,36,37
2023,1085,2023.9.16,23,"1,073,277,473",80,"51,427,879","3,471","1,185,316","156,670","50,000","2,475,529","5,000",4,7,17,18,38,44,36
2023,1084,2023.9.9,15,"1,738,764,600",107,"40,625,342","3,003","1,447,523","151,391","50,000","2,512,924","5,000",8,12,13,29,33,42,5
2023,1083,2023.9.2,15,"1,713,084,525",72,"59,482,102","3,274","1,308,098","154,536","50,000","2,501,816","5,000",3,7,14,15,22,38,17
2023,1082,2023.8.26,7,"3,720,489,643",62,"70,009,214","2,768","1,568,126","142,123","50,000","2,390,544","5,000",21,26,27,32,34,42,31
2023,1081,2023.8.19,11,"2,343,892,944",92,"46,708,012","2,923","1,470,112","143,152","50,000","2,390,493","5,000",1,9,16,23,24,38,17
2023,1080,2023.8.12,7,"3,639,444,429",82,"51,780,714","2,720","1,561,037","136,257","50,000","2,254,999","5,000",13,16,23,31,36,44,38
2023,1079,2023.8.5,9,"2,712,329,417",85,"47,864,637","3,212","1,266,655","145,773","50,000","2,344,700","5,000",4,8,18,24,37,45,6
2023,1078,2023.7.29,12,"2,141,604,938",77,"55,626,103","2,691","1,591,680","135,352","50,000","2,334,106","5,000",6,10,11,14,36,38,43
2023,1077,2023.7.22,7,"3,570,901,018",98,"42,510,727","3,235","1,287,806","149,808","50,000","2,428,987","5,000",4,8,17,30,40,43,34
2023,1076,2023.7.15,9,"2,672,689,750",86,"46,616,682","3,109","1,289,494","148,521","50,000","2,417,204","5,000",3,7,9,33,36,37,10
2023,1075,2023.7.8,9,"2,896,337,167",160,"27,153,161","2,750","1,579,821","134,529","50,000","2,267,024","5,000",1,23,24,35,44,45,10
2023,1074,2023.7.1,12,"2,134,763,657",78,"54,737,530","2,711","1,574,891","143,155","50,000","2,311,622","5,000",1,6,20,27,28,41,15
2023,1073,2023.6.24,11,"2,345,227,603",62,"69,348,129","2,994","1,436,067","146,834","50,000","2,387,538","5,000",6,18,28,30,32,38,15
2023,1072,2023.6.17,12,"2,175,006,375",93,"46,774,331","2,872","1,514,629","145,504","50,000","2,400,605","5,000",16,18,20,23,32,43,27
2023,1071,2023.6.10,5,"5,183,979,750",83,"52,047,990","2,891","1,494,287","143,234","50,000","2,391,950","5,000",1,2,11,21,30,35,39
